first_trade_ts,last_trade_ts,profiling
1722476379.204,1722476529.246,"{'delta': 1693711.5495999951, 'trade_count': 1989, 'buy_trade_count': 1244, 'sell_trade_count': 745, 'val': 64250, 'vah': 64350, 'poc': 64300, 'poc_idx': 2, 'poc_volume': 3452121, 'total_volume': 10019523.269000009, 'bid_volume': 5840940.356299992, 'ask_volume': 4158346.0977}"
1722476529.246,1722476671.0268,"{'delta': 1946115.0660000015, 'trade_count': 1835, 'buy_trade_count': 1064, 'sell_trade_count': 771, 'val': 64300, 'vah': 64350, 'poc': 64300, 'poc_idx': 1, 'poc_volume': 5374120, 'total_volume': 10036844.332399994, 'bid_volume': 5991479.6992, 'ask_volume': 4044528.5018999954}"
1722476671.0268,1722476711.3987,"{'delta': 5907895.258099964, 'trade_count': 2009, 'buy_trade_count': 1424, 'sell_trade_count': 585, 'val': 64350, 'vah': 64400, 'poc': 64400, 'poc_idx': 1, 'poc_volume': 4854636, 'total_volume': 10002189.100100065, 'bid_volume': 7948414.393900008, 'ask_volume': 2047146.9210000008}"
1722476711.3987,1722476945.4456,"{'delta': 519682.51169999724, 'trade_count': 2377, 'buy_trade_count': 1154, 'sell_trade_count': 1223, 'val': 64300, 'vah': 64350, 'poc': 64350, 'poc_idx': 1, 'poc_volume': 5921561, 'total_volume': 10053144.128499988, 'bid_volume': 5285254.370799999, 'ask_volume': 4762163.740499998}"
1722476945.4456,1722476945.5546,"{'delta': 9337539.645899996, 'trade_count': 1141, 'buy_trade_count': 483, 'sell_trade_count': 658, 'val': 64350, 'vah': 64350, 'poc': 64350, 'poc_idx': 1, 'poc_volume': 7445888, 'total_volume': 10133476.556099996, 'bid_volume': 9714394.496699996, 'ask_volume': 397968.45510000264}"
1722476945.5546,1722476952.1984,"{'delta': 7952263.210699993, 'trade_count': 579, 'buy_trade_count': 449, 'sell_trade_count': 130, 'val': 64400, 'vah': 64400, 'poc': 64400, 'poc_idx': 1, 'poc_volume': 8672283, 'total_volume': 10013600.792499984, 'bid_volume': 8891876.380999986, 'ask_volume': 1001710.4358999999}"
1722476952.2003,1722477045.8255,"{'delta': -817649.1921000017, 'trade_count': 1103, 'buy_trade_count': 683, 'sell_trade_count': 420, 'val': 64400, 'vah': 64450, 'poc': 64450, 'poc_idx': 2, 'poc_volume': 5470790, 'total_volume': 10045018.267499994, 'bid_volume': 4612138.431300002, 'ask_volume': 5431269.355700003}"
1722477045.858,1722477191.23,"{'delta': -6698344.406499999, 'trade_count': 1863, 'buy_trade_count': 397, 'sell_trade_count': 1466, 'val': 64300, 'vah': 64400, 'poc': 64400, 'poc_idx': 4, 'poc_volume': 3078021, 'total_volume': 10007952.443899995, 'bid_volume': 1654804.0187000018, 'ask_volume': 8351024.811799999}"
1722477191.23,1722477261.7052,"{'delta': 938448.7643000064, 'trade_count': 1253, 'buy_trade_count': 656, 'sell_trade_count': 597, 'val': 64200, 'vah': 64200, 'poc': 64200, 'poc_idx': 0, 'poc_volume': 9391462, 'total_volume': 10053097.154699985, 'bid_volume': 5491791.009499991, 'ask_volume': 4557131.557100003}"
1722477261.7052,1722477370.2929,"{'delta': -4876545.721000006, 'trade_count': 1885, 'buy_trade_count': 527, 'sell_trade_count': 1358, 'val': 64200, 'vah': 64200, 'poc': 64200, 'poc_idx': 2, 'poc_volume': 7191826, 'total_volume': 10032684.012599992, 'bid_volume': 2578069.1458000033, 'ask_volume': 7451087.109499994}"
